State,Number of CoCs,"Overall Homeless, 2011","Sheltered ES Homeless, 2011","Sheltered TH Homeless, 2011","Sheltered SH Homeless, 2011","Sheltered Total Homeless, 2011","Unsheltered Homeless, 2011","Overall Homeless Individuals, 2011","Overall Homeless Individuals - Under 18, 2011","Sheltered ES Homeless Individuals, 2011","Sheltered ES Homeless Individuals - Under 18, 2011","Sheltered TH Homeless Individuals, 2011","Sheltered TH Homeless Individuals - Under 18, 2011","Sheltered SH Homeless Individuals, 2011","Sheltered Total Homeless Individuals, 2011","Sheltered Total Homeless Individuals - Under 18, 2011","Unsheltered Homeless Individuals, 2011","Unsheltered Homeless Individuals - Under 18, 2011","Overall Homeless People in Families, 2011","Sheltered ES Homeless People in Families, 2011","Sheltered TH Homeless People in Families, 2011","Sheltered Total Homeless People in Families, 2011","Unsheltered Homeless People in Families, 2011","Overall Homeless Family Households, 2011","Sheltered ES Homeless Family Households, 2011","Sheltered TH Homeless Family Households, 2011","Sheltered Total Homeless Family Households, 2011","Unsheltered Homeless Family Households, 2011","Overall Chronically Homeless, 2011","Sheltered ES Chronically Homeless, 2011","Sheltered SH Chronically Homeless, 2011","Sheltered Total Chronically Homeless, 2011","Unsheltered Chronically Homeless, 2011","Overall Chronically Homeless Individuals, 2011","Sheltered ES Chronically Homeless Individuals, 2011","Sheltered SH Chronically Homeless Individuals, 2011","Sheltered Total Chronically Homeless Individuals, 2011","Unsheltered Chronically Homeless Individuals, 2011","Overall Chronically Homeless People in Families, 2011","Sheltered ES Chronically Homeless People in Families, 2011","Sheltered Total Chronically Homeless People in Families, 2011","Unsheltered Chronically Homeless People in Families, 2011","Overall Homeless Veterans, 2011","Sheltered Total Homeless Veterans, 2011","Unsheltered Homeless Veterans, 2011"
IL,20,14009,4957,6040,92,11089,2920,8173,232,3591,22,2009,98,92,5692,120,2481,112,5836,1366,4031,5397,439,1957,461,1343,1804,153,2563,1405,78,1483,1080,2400,1315,78,1393,1007,163,90,90,73,1081,765,316
IN,3,6196,2734,2795,21,5550,646,3789,29,1776,16,1459,11,21,3256,27,533,2,2407,958,1336,2294,113,758,310,409,719,39,602,425,0,425,177,602,425,0,425,177,0,0,0,0,714,638,76
KS,5,2511,1348,860,14,2222,289,1425,16,756,2,430,13,14,1200,15,225,1,1086,592,430,1022,64,328,180,129,309,19,338,245,7,252,86,280,198,7,205,75,58,47,47,11,384,342,42
KY,3,6034,2496,2675,12,5183,851,3842,79,1795,57,1363,22,12,3170,79,672,0,2192,701,1312,2013,179,731,223,455,678,53,784,572,5,577,207,659,503,5,508,151,125,69,69,56,636,579,57
LA,9,9291,1223,2133,49,3405,5886,7941,41,947,19,1201,20,49,2197,39,5744,2,1350,276,932,1208,142,469,91,333,424,45,4433,154,11,165,4268,4352,147,11,158,4194,81,7,7,74,950,443,507
MA,20,16664,11589,4333,39,15961,703,6344,68,3102,28,2531,10,39,5672,38,672,30,10320,8487,1802,10289,31,3531,2803,718,3521,10,2061,1689,22,1711,350,1666,1297,22,1319,347,395,392,392,3,1268,1210,58
MD,16,10208,3606,2831,59,6496,3712,6353,8,2429,6,1469,2,59,3957,8,2396,0,3855,1177,1362,2539,1316,1338,389,440,829,509,1800,862,36,898,902,1627,767,36,803,824,173,95,95,78,696,577,119
ME,3,2447,904,1499,15,2418,29,1184,29,611,19,531,10,15,1157,29,27,0,1263,293,968,1261,2,427,101,325,426,1,212,187,15,202,10,212,187,15,202,10,0,0,0,0,127,121,6
MI,21,13185,5412,5416,36,10864,2321,7634,215,3492,66,2193,110,36,5721,176,1913,39,5551,1920,3223,5143,408,1825,647,1042,1689,136,1764,1235,23,1258,506,1611,1119,23,1142,469,153,116,116,37,959,755,204
MN,10,7495,3504,3049,14,6567,928,3410,203,1783,43,921,124,14,2718,167,692,36,4085,1721,2128,3849,236,1265,473,716,1189,76,1862,1504,14,1518,344,1211,941,14,955,256,651,563,563,88,449,371,78
MO,8,8989,3523,3147,48,6718,2271,4657,113,1830,85,1385,27,48,3263,112,1394,1,4332,1693,1762,3455,877,1330,546,513,1059,271,1418,884,45,929,489,1156,747,45,792,364,262,137,137,125,852,627,225
MP,0, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
MS,3,2306,429,625,2,1056,1250,1825,52,273,32,459,11,2,734,43,1091,9,481,156,166,322,159,141,46,47,93,48,471,134,1,135,336,438,125,1,126,312,33,9,9,24,205,114,91
MT,1,1768,708,508,0,1216,552,1094,29,387,16,249,10,0,636,26,458,3,674,321,259,580,94,222,99,93,192,30,324,149,0,149,175,203,76,0,76,127,121,73,73,48,251,135,116
NC,12,12896,5175,4070,0,9245,3651,8303,102,3659,44,2376,34,0,6035,78,2268,24,4593,1516,1694,3210,1383,1460,500,558,1058,402,1476,916,0,916,560,1365,845,0,845,520,111,71,71,40,1248,941,307
ND,1,603,415,145,0,560,43,396,1,283,0,83,1,0,366,1,30,0,207,132,62,194,13,60,33,22,55,5,75,69,0,69,6,67,63,0,63,4,8,6,6,2,124,121,3
NE,3,3548,1623,1418,0,3041,507,2210,121,1166,43,706,25,0,1872,68,338,53,1338,457,712,1169,169,433,163,213,376,57,502,409,0,409,93,445,361,0,361,84,57,48,48,9,310,253,57
NH,3,1469,582,569,8,1159,310,820,9,419,0,204,9,8,631,9,189,0,649,163,365,528,121,243,71,132,203,40,226,143,5,148,78,166,88,5,93,73,60,55,55,5,126,118,8
NJ,19,14137,8110,4700,20,12830,1307,6841,84,4407,53,1533,25,20,5960,78,881,6,7296,3703,3167,6870,426,2556,1322,1096,2418,138,955,788,0,788,167,750,610,0,610,140,205,178,178,27,811,668,143
NM,2,3601,1693,1060,0,2753,848,2246,148,1238,94,343,18,0,1581,112,665,36,1355,455,717,1172,183,430,145,226,371,59,1117,658,0,658,459,971,564,0,564,407,146,94,94,52,364,221,143
NV,3,9150,1436,3084,25,4545,4605,7973,425,1140,11,2238,72,25,3403,83,4570,342,1177,296,846,1142,35,381,94,274,368,13,1353,193,3,196,1157,1342,184,3,187,1155,11,9,9,2,1240,692,548
NY,32,63445,49471,10179,128,59778,3667,27338,166,17222,73,6492,92,128,23842,165,3496,1,36107,32249,3687,35936,171,11988,10698,1234,11932,56,4208,1944,126,2070,2138,3840,1629,126,1755,2085,368,315,315,53,5765,5246,519
OH,9,13030,5997,5134,93,11224,1806,7812,101,4049,54,2187,23,93,6329,77,1483,24,5218,1948,2947,4895,323,1683,638,944,1582,101,2014,1307,75,1382,632,1881,1213,75,1288,593,133,94,94,39,1279,1083,196
OK,8,4625,2062,867,59,2988,1637,3236,422,1554,60,457,17,59,2070,77,1166,345,1389,508,410,918,471,469,176,135,311,158,793,399,19,418,375,568,288,19,307,261,225,111,111,114,356,301,55
OR,7,17254,2555,4418,39,7012,10242,9445,904,1577,173,1633,243,39,3249,416,6196,488,7809,978,2785,3763,4046,2623,327,915,1242,1381,3739,877,39,916,2823,3017,665,39,704,2313,722,212,212,510,1474,655,819
PA,18,15096,7387,6484,165,14036,1060,7867,52,4504,33,2203,0,165,6872,33,995,19,7229,2883,4281,7164,65,2396,950,1423,2373,23,1719,995,144,1139,580,1508,794,144,938,570,211,201,201,10,1392,1262,130
PR,2,2900,330,667,37,1034,1866,2346,2,241,1,518,0,37,796,1,1550,1,554,89,149,238,316,261,38,73,111,150,3564,533,31,564,3000,1647,218,31,249,1398,1917,315,315,1602,137,50,87
RI,1,1070,680,338,21,1039,31,652,8,485,3,115,5,21,621,8,31,0,418,195,223,418,0,137,62,75,137,0,176,157,14,171,5,176,157,14,171,5,0,0,0,0,123,121,2
SC,4,5093,1554,1388,12,2954,2139,3505,20,1210,7,745,3,12,1967,10,1538,10,1588,344,643,987,601,527,125,222,347,180,645,219,12,231,414,504,217,12,229,275,141,2,2,139,612,389,223
SD,1,826,371,391,0,762,64,460,21,218,13,195,8,0,413,21,47,0,366,153,196,349,17,123,52,67,119,4,34,21,0,21,13,34,21,0,21,13,0,0,0,0,109,99,10
TN,10,9113,3007,2888,20,5915,3198,6475,46,2322,16,1896,1,20,4238,17,2237,29,2638,685,992,1677,961,910,216,323,539,371,1757,886,18,904,853,1661,810,18,828,833,96,76,76,20,965,732,233
TX,16,36911,10027,8788,157,18972,17939,23577,1520,6226,353,4024,249,157,10407,602,13170,918,13334,3801,4764,8565,4769,4357,1418,1488,2906,1451,8223,3192,61,3253,4970,7390,2634,61,2695,4695,833,558,558,275,4891,2365,2526
UT,3,3130,1506,1133,48,2687,443,1842,5,948,0,438,3,48,1434,3,408,2,1288,558,695,1253,35,389,166,215,381,8,383,236,48,284,99,364,217,48,265,99,19,19,19,0,345,310,35
VA,20,8816,4395,2928,63,7386,1430,5231,20,2926,17,1028,3,63,4017,20,1214,0,3585,1469,1900,3369,216,1145,477,607,1084,61,1643,986,43,1029,614,1571,930,43,973,598,72,56,56,16,931,768,163
VI,1,532,37,117,0,154,378,450,0,13,0,59,0,0,72,0,378,0,82,24,58,82,0,22,7,15,22,0,195,4,0,4,191,195,4,0,4,191,0,0,0,0,32,0,32
VT,2,1144,579,438,4,1021,123,637,20,340,10,189,10,4,533,20,104,0,507,239,249,488,19,156,75,75,150,6,114,87,0,87,27,94,67,0,67,27,20,20,20,0,81,75,6
WA,7,20439,6047,8976,52,15075,5364,10868,261,3934,91,2232,60,52,6218,151,4650,110,9571,2113,6744,8857,714,3040,658,2182,2840,200,2388,1261,52,1313,1075,2136,1159,52,1211,925,252,102,102,150,1478,1167,311
WI,4,5785,2644,2650,61,5355,430,2838,34,1520,21,923,7,61,2504,28,334,6,2947,1124,1727,2851,96,994,358,607,965,29,497,405,20,425,72,410,327,20,347,63,87,78,78,9,607,584,23
WV,4,2211,923,471,11,1405,806,1662,2,696,1,285,0,11,992,1,670,1,549,227,186,413,136,207,85,71,156,51,299,184,5,189,110,287,174,5,179,108,12,10,10,2,302,236,66
WY,1,1038,127,68,0,195,843,320,26,79,0,48,0,0,127,0,193,26,718,48,20,68,650,223,22,7,29,194,104,27,0,27,77,82,27,0,27,55,22,0,0,22,83,39,44
Total,432,623788,221457,168961,1898,392316,231472,387613,9398,124432,2444,79504,1913,1898,205834,4357,181779,5041,236175,97025,89457,186482,49693,77184,32415,29221,61636,15548,119033,44834,1335,46169,72864,103522,37636,1335,38971,64551,15511,7198,7198,8313,65455,40033,25422
